"tipo","Barrio","cant_hab","cant_bath","superficie","precio"
"Departamento","Villa Crespo",4,2,80,185000
"Departamento","Villa Crespo",4,2,78,184000
"Departamento","Parque Centenario",4,2,136,340000
"PH","Palermo",5,3,160,375000
"PH","Chacarita",5,1,158,290000
"PH","Villa General Mitre",5,4,200,310000
"Departamento","Barracas",5,3,144,360000
"Departamento","Belgrano",5,3,210,770000
"Departamento","Las Cañitas",5,3,175,450000
"Departamento","Villa Crespo",5,3,185,399000
"PH","Once",5,1,143,170000
"PH","Almagro",3,1,54,127000
"PH","Almagro",3,1,142,175000
"PH","Almagro",6,3,219,297000
"PH","Floresta",2,1,58,92000
"PH","Recoleta",4,2,105,239000
"PH","Saavedra",3,1,107,209000
"PH","Caballito",4,1,135,332000
"PH","Agronomía",3,1,75,133000
"PH","Villa Devoto",5,3,197,479000
"PH","Villa Devoto",3,2,180,165000
"PH","Villa Ortuzar",6,3,210,365000
"PH","Parque Patricios",3,2,244,240000
"PH","Villa del Parque",3,1,85,190000
"Casa","Balvanera",3,1,68,135000
"Casa","Villa Devoto",6,2,225,420000
"Departamento","Boca",4,2,170,236000
"Departamento","Boedo",2,1,36,93000
"Departamento","Boedo",3,1,109,264000
"Departamento","Nuñez",2,1,62,155000
"Departamento","Nuñez",3,1,69,300000
"Departamento","Retiro",5,4,223,790000
"Departamento","Retiro",1,1,34,84500
"Departamento","Almagro",2,1,36,69500
"Departamento","Almagro",4,1,84,180000
"Departamento","Almagro",4,2,97,300000
"Departamento","Almagro",1,1,36,102000
"Departamento","Almagro",1,1,37,97800
"Departamento","Almagro",7,3,233,415000
"Departamento","Almagro",2,1,30,73000
"Departamento","Coghlan",2,1,76,133000
"Departamento","Palermo",1,1,43,145000
"Departamento","Palermo",1,1,45,102000
"Departamento","Palermo",3,1,78,235000
"Departamento","Palermo",2,1,50,100000
"Departamento","Palermo",3,2,106,370000
"Departamento","Barracas",2,1,56,132000
"Departamento","Barracas",3,1,54,138500
"Departamento","Belgrano",4,2,102,419000
"Departamento","Belgrano",4,3,99,380000
"Departamento","Belgrano",2,1,44,165000
"Departamento","Belgrano",2,1,30,108000
"Departamento","Paternal",4,1,70,139000
"Departamento","Recoleta",5,2,148,440000
"Departamento","Recoleta",2,1,41,130000
"Departamento","Recoleta",2,1,38,130000
"Departamento","Recoleta",3,2,84,445000
"Departamento","Recoleta",2,1,53,170000
"Departamento","Recoleta",3,1,69,215000
"Departamento","Saavedra",3,2,125,359500
"Departamento","Saavedra",3,1,80,239500
"Departamento","Saavedra",2,1,95,168000
"Departamento","Saavedra",1,1,86,206000
"Departamento","Saavedra",4,2,126,282000
"Departamento","Saavedra",3,1,80,240000
"Departamento","Saavedra",2,1,55,168000
"Departamento","Balvanera",2,1,64,118000
"Departamento","Balvanera",2,1,70,119000
"Departamento","Balvanera",3,1,67,140000
"Departamento","Balvanera",2,1,34,82000
"Departamento","Balvanera",3,1,73,100000
"Departamento","Caballito",2,1,38,140000
"Departamento","Caballito",3,1,73,200000
"Departamento","Caballito",3,1,45,105000
"Departamento","Caballito",4,2,107,360000
"Departamento","Caballito",2,1,38,89000
"Departamento","Caballito",2,1,53,115000
"Departamento","Caballito",2,1,40,110000
"Departamento","Caballito",1,1,34,96000
"Departamento","Caballito",1,1,38,120000
"Departamento","Caballito",1,1,33,89000
"Departamento","Caballito",1,1,41,115000
"Departamento","Caballito",3,1,44,125000
"Departamento","Caballito",1,1,36,74000
"Departamento","Monserrat",3,1,76,139000
"Departamento","San Telmo",3,1,79,175000
"Departamento","Colegiales",2,1,44,129000
"Departamento","Barrio Norte",3,1,90,215000
"Departamento","Las Cañitas",3,3,130,450000
"Departamento","San Nicolás",3,1,75,105000
"Departamento","San Nicolás",1,1,36,78000
"Departamento","San Nicolás",2,1,50,94000
"Departamento","Villa Crespo",3,1,72,199000
"Departamento","Villa Crespo",2,1,54,173000
"Departamento","Villa Crespo",3,2,75,160000
"Departamento","Villa Devoto",3,2,100,299000
"Departamento","Villa Devoto",1,1,45,111900
"Departamento","Villa Devoto",3,1,60,140000
"Departamento","Villa Devoto",3,1,68,120000
"Departamento","Villa Lugano",3,2,106,192900
"Departamento","Villa Urquiza",4,2,88,318000
"Departamento","Villa Urquiza",2,1,60,174000
"Departamento","Villa Urquiza",2,1,58,170000
"Departamento","Villa Urquiza",2,1,50,220000
"Departamento","Villa Urquiza",3,1,54,157354
"Departamento","Villa Urquiza",3,1,60,103000
"Departamento","Parque Patricios",2,1,42,70000
"Departamento","Parque Avellaneda",1,1,61,89000
"Departamento","Parque Centenario",3,1,66,170000
"Departamento","Parque Centenario",2,1,48,108286
"Departamento","Villa General Mitre",2,1,46,99900
"Departamento","Centro / Microcentro",1,1,34,84500
"PH","Flores",6,3,140,219000
"PH","Floresta",6,3,187,240000
"Casa","Flores",4,1,110,230000
"Casa","Villa Devoto",4,2,173,329000
"Departamento","Nuñez",1,1,38,120000
"Departamento","Nuñez",2,1,58,235000
"Departamento","Nuñez",3,2,65,198000
"Departamento","Nuñez",2,1,40,120000
"Departamento","Nuñez",3,2,78,295000
"Departamento","Almagro",2,1,44,149500
"Departamento","Palermo",3,1,72,220000
"Departamento","Palermo",1,1,47,157800
"Departamento","Palermo",2,1,44,130000
"Departamento","Palermo",1,1,40,115000
"Departamento","Palermo",2,1,32,110000
"Departamento","Palermo",2,1,70,370000
"Departamento","Palermo",2,1,70,370000
"Departamento","Palermo",1,1,29,100000
"Departamento","Palermo",3,2,160,520000
"Departamento","Palermo",3,1,60,260000
"Departamento","Palermo",3,1,79,305000
"Departamento","Palermo",4,2,98,260000
"Departamento","Palermo",2,1,70,370000
"Departamento","Belgrano",5,2,180,420000
"Departamento","Belgrano",2,1,60,144900
"Departamento","Belgrano",2,1,89,285000
"Departamento","Belgrano",2,1,56,260000
"Departamento","Belgrano",3,2,65,198000
"Departamento","Belgrano",2,1,45,124999
"Departamento","Paternal",2,1,51,129000
"Departamento","Paternal",2,1,50,133000
"Departamento","Recoleta",2,1,43,157500
"Departamento","Recoleta",3,1,70,192000
"Departamento","Balvanera",3,1,56,117000
"Departamento","Caballito",2,1,60,191911
"Departamento","Caballito",2,1,40,108000
"Departamento","Caballito",3,2,81,289000
"Departamento","Caballito",3,2,131,250000
"Departamento","San Telmo",3,1,71,149000
"Departamento","Barrio Norte",2,1,62,168000
"Departamento","Barrio Norte",3,1,70,192000
"Departamento","Barrio Norte",3,1,93,340000
"Departamento","Barrio Norte",1,1,30,83000
"Departamento","Barrio Norte",3,2,126,295000
"Departamento","San Nicolás",7,2,174,230000
"Departamento","San Nicolás",4,2,70,165000
"Departamento","Villa Crespo",3,1,60,168000
"Departamento","Villa Crespo",2,1,78,185000
"Departamento","Puerto Madero",2,1,64,345000
"Departamento","Puerto Madero",2,1,57,230000
"Departamento","Puerto Madero",2,1,79,518000
"Departamento","Villa Urquiza",4,2,100,300000
"Departamento","Villa Urquiza",3,2,65,198000
"Departamento","Villa Urquiza",3,1,59,200000
"Departamento","Villa Pueyrredón",2,1,45,125000
"PH","Almagro",1,1,95,95000
"Departamento","Once",1,1,38,114000
"Departamento","Abasto",1,1,28,99800
"Departamento","Flores",1,1,42,104000
"Departamento","Flores",1,1,39,114500
"Departamento","Nuñez",1,1,29,99000
"Departamento","Nuñez",1,1,36,135000
"Departamento","Almagro",1,1,39,89000
"Departamento","Almagro",1,1,28,99800
"Departamento","Palermo",1,1,42,120000
"Departamento","Palermo",1,1,35,125000
"Departamento","Palermo",1,1,33,90500
"Departamento","Palermo",1,1,38,128500
"Departamento","Palermo",1,1,82,350000
"Departamento","Palermo",1,1,35,125000
"Departamento","Palermo",1,1,38,130000
